product_name,product_id,listing_price,sale_price,discount,brand,description,rating,reviews,images
Nike Joyride Run FlyKnit,CI3707-100,15995,11997,0,Nike,The Nike Joyride Run Flyknit is designed to help make running feel easier and give your legs a day off. Tiny foam beads underfoot contour to your foot for cushioning that stands up to your mileage.,0.0,0,"[""https://static.nike.com/a/images/t_PDP_1728_v1/ktmgtc70wojzrhkyhhlz/joyride-run-flyknit-running-shoe-hbgTxN.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/mlo81e1hreybwvccrf9y/joyride-run-flyknit-running-shoe-hbgTxN.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/becjerdkosieadz6udo8/joyride-run-flyknit-running-shoe-hbgTxN.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/x3kkih8un3dsrxgp27gg/joyride-run-flyknit-running-shoe-hbgTxN.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/p8ulu9g6gwfjx0qpqeo0/joyride-run-flyknit-running-shoe-hbgTxN.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/vgcnpowpzzbmvglguq9z/joyride-run-flyknit-running-shoe-hbgTxN.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/e8lculax67khymcgjrgs/joyride-run-flyknit-running-shoe-hbgTxN.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/osbybqxan2ebapnlagfd/joyride-run-flyknit-running-shoe-hbgTxN.jpg""]"
Nike Air Max Tailwind 99,CQ6569-001,15995,11197,0,Nike,"The Nike Air Max Tailwind 99 has a storied history, beginning in 1979 with the original Nike Air project. To celebrate 20 years of the Tailwind, this model blends elements from several decades past. An OG colourway nods to the shoe's initial debut back in '99.",0.0,0,"[""https://static.nike.com/a/images/t_PDP_1728_v1/dc7054b9-3faf-41e1-aaa6-53db7b2f1d0c/air-max-tailwind-99-shoe-995B05.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/e849780e-c482-4c94-9431-54949432ce27/air-max-tailwind-99-shoe-995B05.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/4e185e4d-b8e9-4999-8d31-679a3d360e74/air-max-tailwind-99-shoe-995B05.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/ee35467c-6be5-40ed-8f11-f1857690c2d9/air-max-tailwind-99-shoe-995B05.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/b3e95f9f-fdca-4891-8378-af7a9a30d696/air-max-tailwind-99-shoe-995B05.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/f4b1b27a-b9f6-4492-96a3-10899afdc828/air-max-tailwind-99-shoe-995B05.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/826797aa-d2e5-48bd-be10-3bd8881d042b/air-max-tailwind-99-shoe-995B05.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/f7793af7-b4ae-4fbf-a686-45fc8c6bde16/air-max-tailwind-99-shoe-995B05.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/5a66efd4-e3b9-4aee-aa7d-701597daf88b/air-max-tailwind-99-shoe-995B05.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/fd684be9-ffa8-45de-8956-0f2bf90c4a2c/air-max-tailwind-99-shoe-995B05.jpg""]"
Nike Epic Phantom React A.I.R. Cody Hudson,CI1718-001,13995,8397,0,Nike,"Soft to the touch, the Nike Epic Phantom React A.I.R. lets go of laces for slip-on style that has you up and running in no time. A sock-like fit within breathable Flyknit feels as though the Phantom ""disappears"" as you run, while a polka-dotted upper gets you noticed.",5.0,2,"[""https://static.nike.com/a/images/t_PDP_1728_v1/qt88vxbunc9hmmbrzwjo/epic-phantom-react-air-cody-hudson-running-shoe-ctX7Zl.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/irpmbhgx8lnsdyzxapwf/epic-phantom-react-air-cody-hudson-running-shoe-ctX7Zl.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/g1mvb8eem32rmjnfm4ga/epic-phantom-react-air-cody-hudson-running-shoe-ctX7Zl.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/yd9t2h1ukwxytlvzle0t/epic-phantom-react-air-cody-hudson-running-shoe-ctX7Zl.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/zfvxchvqgybhw2npexov/epic-phantom-react-air-cody-hudson-running-shoe-ctX7Zl.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/zmunvtsdm7xvsj2pkumj/epic-phantom-react-air-cody-hudson-running-shoe-ctX7Zl.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/rnchkfnpnzfjable8gdf/epic-phantom-react-air-cody-hudson-running-shoe-ctX7Zl.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/zljofnvvdh33qgrrhtul/epic-phantom-react-air-cody-hudson-running-shoe-ctX7Zl.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/melz57nrepqntxz49rov/epic-phantom-react-air-cody-hudson-running-shoe-ctX7Zl.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/dkjaudhpqlys5yfgfebw/epic-phantom-react-air-cody-hudson-running-shoe-ctX7Zl.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/ka5bt27ulezkdsd06y2s/epic-phantom-react-air-cody-hudson-running-shoe-ctX7Zl.jpg""]"
Nike Air Max 270 React,AO4971-700,12995,7797,0,Nike,"The bold silhouette of Nike Air lifts the Nike Air Max 270 React to new heights, while the Nike React foam midsole delivers exceptional cushioning. Imagine all-day comfort with unstoppable style.",3.9,33,"[""https://static.nike.com/a/images/t_PDP_1728_v1/zysrzf8tplx1rrikinuk/air-max-270-react-shoe-8m45H9.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/alokxgwbtdgnsln8tb9q/air-max-270-react-shoe-8m45H9.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/ekm2v72j2ocgoyxrxmzj/air-max-270-react-shoe-8m45H9.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/lumkzfxsdfm4c7aiwc3s/air-max-270-react-shoe-8m45H9.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/whcpfiwpaehufl4im3un/air-max-270-react-shoe-8m45H9.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/bxsp4r7fjoezwrry4d3s/air-max-270-react-shoe-8m45H9.jpg""]"
Nike React Presto,AV2605-101,9995,5997,0,Nike,"Inspired by the early 2000s original, the Nike React Presto puts an exaggerated spin on an unconventional icon. Nike React foam delivers an expressive look with a lightweight, bouncy feel and a whole lot of personality.",3.7,27,"[""https://static.nike.com/a/images/t_PDP_1728_v1/cxgtm2clr22zesboufg1/react-presto-shoe-h5dC61.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/u35uuethj61tpcqralfx/react-presto-shoe-h5dC61.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/fksrgvgnsgh8wplhabao/react-presto-shoe-h5dC61.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/x8d5hzxc2foacg4myun6/react-presto-shoe-h5dC61.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/gkflrde5irot5tuutwzd/react-presto-shoe-h5dC61.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/s79ktrwbpblvoh99pfje/react-presto-shoe-h5dC61.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/tmklaqfaxplffue1qxtl/react-presto-shoe-h5dC61.jpg""]"
Nike Free RN Flyknit 3.0,AQ5707-001,10995,7697,0,Nike,"Ideal for runs up to 3 miles, the Nike Free RN Flyknit 3.0 delivers a lace-free design so you can slip in and hit your stride. An updated flex groove pattern and modified midsole foam provides more flexibility than its predecessor, creating a barefoot sensation with every step. A mix of supportive and stretchy yarns are zonally placed for comfort that moves with your foot.",3.9,10,"[""https://static.nike.com/a/images/t_PDP_1728_v1/mmt4hemae0hjzfo3laid/free-rn-flyknit-3-running-shoe-vVqwz6.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/kn58thb4x3ddm5i5imkr/free-rn-flyknit-3-running-shoe-vVqwz6.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/pcatukbqtmtfteujw9ij/free-rn-flyknit-3-running-shoe-vVqwz6.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/ukd5b1w1mllebnqymkz8/free-rn-flyknit-3-running-shoe-vVqwz6.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/z64dj72ufinei6m6mgki/free-rn-flyknit-3-running-shoe-vVqwz6.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/ckcsagzdizbwhszatyvy/free-rn-flyknit-3-running-shoe-vVqwz6.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/kblxstntywdcms9kxjd2/free-rn-flyknit-3-running-shoe-vVqwz6.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/lu1mt1c2ycyb0pivlhms/free-rn-flyknit-3-running-shoe-vVqwz6.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/nadkmmxtqlwqlrbqbusr/free-rn-flyknit-3-running-shoe-vVqwz6.jpg""]"
Nike Air Ghost Racer,AT5410-003,9995,6997,0,Nike,"Designed for speed, stability and comfort, the Nike Air Ghost Racer was a hit 20 years ago—and now it's back in a stitch-for-stitch remake. And though it has all the same features as the original, it might be even better than you remember.",4.5,2,"[""https://static.nike.com/a/images/t_PDP_1728_v1/v08gfolm1xl4ph79dszd/air-ghost-racer-shoe-CClwQd.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/jzfovha6bttpzeuakgc6/air-ghost-racer-shoe-CClwQd.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/agvo9xukqllwffunxnjn/air-ghost-racer-shoe-CClwQd.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/m25choaqw3u1oml80rxp/air-ghost-racer-shoe-CClwQd.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/rpqoixyzplvsslyujfau/air-ghost-racer-shoe-CClwQd.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/g4luyxrfujszdsjgt3gt/air-ghost-racer-shoe-CClwQd.jpg""]"
Nike Air Max 2 Light,CI3703-401,11995,9597,0,Nike,"Originally released in 1994, the Nike Air Max 2 Light returns as a near-exact replica of the iconic runner. A mesh and synthetic leather upper, moulded heel and vibrant Air Max unit honour the OG. The soft foam midsole optimises all-day comfort.",0.0,0,"[""https://static.nike.com/a/images/t_PDP_1728_v1/e18b6d12-0e41-4697-8bb9-9e6410d0150e/air-max-2-light-shoe-r1kSJt.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/85f278ed-2592-48ff-bad5-66b771c1db48/air-max-2-light-shoe-r1kSJt.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/4b614b1b-8e16-49e7-a85d-629e5d15e988/air-max-2-light-shoe-r1kSJt.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/fdc2d71a-cbfb-43bb-81ae-5ffd0504a99f/air-max-2-light-shoe-r1kSJt.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/e5df7003-f00b-490f-9f3c-8a168d57ec77/air-max-2-light-shoe-r1kSJt.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/7b81dbbc-b821-4cbc-9774-364ce0134a8c/air-max-2-light-shoe-r1kSJt.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/93e59b25-4098-4d7a-8f53-3dfb8e284e69/air-max-2-light-shoe-r1kSJt.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/02a5a175-50a1-4157-87f0-095ce7f4133f/air-max-2-light-shoe-r1kSJt.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/5c8685f1-00fa-499c-97e6-0db684e48608/air-max-2-light-shoe-r1kSJt.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/cebc7539-a35f-4361-8329-c29e1be6ea9c/air-max-2-light-shoe-r1kSJt.jpg""]"
Nike AlphaDunk,BQ5401-001,15995,11197,0,Nike,"Join the hoops uprising in the AlphaDunk, one of Nike Basketball's bounciest game shoes to date. The revamped upper construction is light and supportive and a large cushioning unit spans nearly the entire forefoot, giving you all the responsiveness you can handle on the court.",2.9,12,"[""https://static.nike.com/a/images/t_PDP_1728_v1/uymy5ecxo9izfbvylyiy/alphadunk-basketball-shoe-qh0qTV.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/horlh9g2mlgpidmrsaaz/alphadunk-basketball-shoe-qh0qTV.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/qa74rxptbqbijyva0bhv/alphadunk-basketball-shoe-qh0qTV.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/trprwcxy96bcnkwy2eiu/alphadunk-basketball-shoe-qh0qTV.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/rbq3sbti6bffx7svvro9/alphadunk-basketball-shoe-qh0qTV.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/uh2x3zzlnzkqk9rk63ip/alphadunk-basketball-shoe-qh0qTV.jpg""]"
Nike Daybreak SP,BV7725-500,7995,4797,0,Nike,"The Nike Daybreak SP marks the return of the 1979 original, featuring suede and nylon on the upper and old-school graphics on the tongue for a '70s runner-inspired look and feel.",5.0,3,"[""https://static.nike.com/a/images/t_PDP_1728_v1/oo8nfaxjvklmg4hzh8gh/daybreak-sp-shoe-30r2Zk.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/avctwk4jytyysoelu8ig/daybreak-sp-shoe-30r2Zk.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/xomez0sfjzw6yj9dpdvo/daybreak-sp-shoe-30r2Zk.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/ke6euigjkc1wfyz8cfsl/daybreak-sp-shoe-30r2Zk.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/y1wzqx17yxoy556g6tdu/daybreak-sp-shoe-30r2Zk.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/tsegm4guce9ko9roxd9o/daybreak-sp-shoe-30r2Zk.jpg""]"
